match_text,category,owner,priority,notes,clean_name
SODIMAC,Compras hogar,Compartido,1,Incluye Sodimac Mall Plaza,
NOVAHUS,Compras hogar,Compartido,1,,
EL DATO FERRETERI,Compras hogar,Compartido,1,,
LIMPIA FONDOS,Compras hogar,Compartido,1,,
COMERCIAL SOAR,Compras hogar,Compartido,1,,
LIBRERIA NACIONAL,Compras hogar,Compartido,1,,
UNIMARC,Supermercado,Compartido,1,,
STA ISABEL,Supermercado,Compartido,1,,
LIDER,Supermercado,Compartido,1,,
EXPRESS PEDRO FON,Supermercado,Compartido,1,,Lider Express Pedro Fontova
D COPAS,Supermercado,Compartido,1,,
PASTELERIA KAISER,Supermercado,Compartido,1,,
INVERSIONES FADRA,Supermercado,Compartido,1,,
MARIBERICO,Supermercado,Compartido,1,,
BENDITO ASADO HUECH,Supermercado,Compartido,1,,
FULL MARKET SPA,Supermercado,Compartido,1,,
SHELL,Combustible,Personal,1,,
CONCESIONARIA VE,Autopistas,Personal,1,,
C. VERDE,Salud,Confirmar,1,Farmacias,
SALCOBRAND,Salud,Confirmar,1,Farmacias,
INTEGRAMEDICA,Salud,Confirmar,1,Consultas y exámenes,
ENCUADRADO SPA,Salud,Personal,1,,
MERPAGO MELIMAS,Suscripciones,Compartido,2,Prioridad alta para diferenciar,
MERCADOPAGO,Mercado Pago,Confirmar,1,,
MERPAGO,Mercado Pago,Confirmar,1,,
ZAPPING.TV,Gastos fijos,Compartido,1,,
MARISEL JILIBERTO,Gastos fijos,Compartido,1,,
ANDY ARRIAGADA,Gastos fijos,Compartido,1,,
LUIS MIGUEL CRUCES,Gastos fijos,Compartido,1,,
KHIPU CLBS B,Gastos fijos,Compartido,1,Monto aprox 130.000,
PAGO SII,Gastos fijos,Compartido,1,Contribuciones e impuestos,
CHEQUE DE CANJE,Gastos fijos,Compartido,1,Arriendos o pagos altos,
AGUAS ANDINAS,Gastos fijos,Compartido,1,,
ENEL SANTIAGO,Gastos fijos,Compartido,1,,
METROGAS PAT,Gastos fijos,Compartido,1,,
GTD MANQUEHUE S.A,Gastos fijos,Compartido,1,,
CONSORCIO VIDA,Gastos fijos,Compartido,1,,
CHUCK E CHEESE,Entretenimiento,Compartido,1,,
PEQUELAND MALL PL,Entretenimiento,Compartido,1,,
TUU FUN FOR ALL,Entretenimiento,Compartido,1,,
EMPORIO LA ROSA,Restaurant-café,Compartido,1,,
VANESSA HERMOSILLA,Vane,Personal,1,,
TELEFONICA MOVIL,Celular,Personal,1,,
COMISION ADM. MENSUAL,Gastos Bancarios,Personal,1,Mantención cuenta,
RAPPI CHILE,Delivery,Compartido,1,,
PRIME VIDEO,Streaming,Compartido,1,,
DISNEY PLUS,Streaming,Compartido,1,,
APPLE.COM/BILL,Suscripciones,Personal,1,,
GOOGLE *STORAGE,Suscripciones,Personal,1,,
COPEC ASISTIDO,Combustible,Personal,2,Si monto > 40.000,
COPEC ASISTIDO,Combustible,Compartido,2,Si monto <= 40.000,
AMZN Mktp US,Compras online,Personal,1,Amazon,
LOCAL HUECHURABA,No Identificado,Revisión,1,,
MABEL VERGARA,No Identificado,Revisión,1,,
ONECLICK CENCOMALLS,No Identificado,Revisión,1,,
SP HOZO DESIGN,Lujo,Personal,1,,
OPENAI,Suscripciones,Personal,1,,
MERCADOLI,Compras,Revisar,1,,
SUPERMARK,Suscripciones,Personal,1,,
FLOW LA PIZKA,Supermercado,Compartido,1,,
PAN Y AZUCAR LTDA,Supermercado,Compartido,1,,
VIRTUAL WISECITY,Suscripciones,Personal,1,,
SERGIO TORRES S,Cortina roller,Personal,1,,
FARMALOO,Salud,Personal,1,,
METLIFE SEG,Seguros,Personal,1,,
JOSSEFA HERBAS,Babysit,Compartido,1,,
RAPPI CHILE,Delivery,Compartido,1,,
LA TIENDA DE LULU,Librería,Compartido,1,,
BAKERY LYNCH,Restaurant-café,Compartido,1,,
SPID,Minimarket,Personal,1,,
EXPRESS PEDRO FON,Supermercado,Compartido,1,,Lider Express Pedro Fontova
MC DONALDS,Gustitos,Compartido,1,,
